"cashno","date","ccode","cname","amount","remarks"
"1250","2026-05-22","82","JUNAID AUTO AGRA TAJ","15000",""
"1249","2026-05-22","77","MALIK AUTO LINES AREA","5000",""
"1246","2026-05-22","178","B.S ALIYAN AUTO WATER PUMP","1000",""
"1233","2026-05-22","51","NEW KAKAR AUTOS PIDC","10000",""
"1234","2026-05-22","265","ARIF AUTO RAHIM YAR KHAN","20000",""
"1245","2026-05-22","271","SALEEM AUTO PEOPELS CHOWRANGI","1500",""
"1244","2026-05-22","246","NASIR AUTO PEOPELS CHORANGI","1000",""
"1286","2026-05-25","176","ANSARI AUTO DASTAGIR","2000",""
"1287","2026-05-25","175","JAPAN AUTO WATER PUMP","2250",""
"1288","2026-05-25","213","YOUSUF AUTO GULLSHAN 13D","2000",""
"1283","2026-05-25","285","K.K AUTO RABIA CITY","8000",""
"1284","2026-05-25","182","SHAMA AUTO ELECTRIC W/P","1000",""
"1285","2026-05-25","178","B.S ALIYAN AUTO WATER PUMP","1000",""
"1289","2026-05-25","246","NASIR AUTO PEOPELS CHORANGI","1000",""
"1293","2026-05-25","192","SUBHAN AUTO GULSHAN 13D","3000",""
"1294","2026-05-25","268","HANAN AUTO NAZIMABAD","920",""
"1295","2026-05-25","132","ADNAN AUTO FAST","40000",""
"1290","2026-05-25","210","SHAH JI AUTO PEOPELS CHOWK","2000",""
"1291","2026-05-25","271","SALEEM AUTO PEOPELS CHOWRANGI","1000",""
"1292","2026-05-25","190","ASIF AUTO SABZI MANDI","4000",""
"1261","2026-05-25","281","SUBHAN ALLAH AUTO SACHAL","5000",""
"1262","2026-05-25","149","SHEIKH AUTO PEHALWAN GOTH","10000",""
"1263","2026-05-25","27","B.S BAKHTAWAR GOTH","4000",""
"1270","2026-05-25","107","NIZAM AUTO MAYMAR","10000",""
"1259","2026-05-25","238","IMRAN AUTO SHER PAO","4000",""
"1260","2026-05-25","245","IMRAN AUTO MALIR","5300",""
"1267","2026-05-25","279","HABIB AUTO MAYMAR","7000",""
"1268","2026-05-25","282","SALEEM AUTO MAYMAR","5000",""
"1269","2026-05-25","164","STAR AUTO MAYMAR","10000",""
"1264","2026-05-25","228","KHALIL AUTO RABIA CITY","5000",""
"1265","2026-05-25","253","IZZAT AGA AUTO RABIA CITY","4600",""
"1266","2026-05-25","287","HAFEEZ AUTO GHAZI GOTH","5000",""
"1279","2026-05-25","36","HADIA K1 NORTH NAZIMABAD","10000",""
"1278","2026-05-25","252","OKASHA MEHAR","64800",""
"1277","2026-05-25","104","HAMZA AUTO MOSMIYAT","47000",""
"1282","2026-05-25","267","HAFIZ AUTO PEHALWAN GOTH","3000",""
"1281","2026-05-25","266","MADNI AUTO PEHALWAN GOTH","3500",""
"1280","2026-05-25","92","OSAMA ISLAM CHOWK","6000",""
"1273","2026-05-25","25","AZAN AUTO BADIN","50000",""
"1272","2026-05-25","150","M UMER BADIN","100000",""
"1271","2026-05-25","158","PAKISTAN AUTO QUAIDABAD","9000",""
"1276","2026-05-25","133","YOUSUF AUTO SATO MAIL","20000",""
