"ccode","oracle_name","odoo_name","match","fuzzy_score","oracle_balance","odoo_balance","difference","known_mgr_diff","classification","last_activity","user_note"
"239","AL-HAJ AUTO MANSERA COLONY","Al-Haj Auto Mansehra Colony","name_map","","4800","23100","18300","-5000","NEW","2026-07-22","23 June payment of 5000 not recorded by Shoaib"
"240","AKBER AUTO LIYARI 36","Akbar Auto Liyari 36","fuzzy","0.941","0","0","0","","AGREES","2026-05-12",""
"241","RAJPUT AUTO ORANGI W/RIM","Rajput Autos Sabri Chowk (Wheel Rim)","name_map","","24300","5660","-18640","0","NEW","2026-04-07",
"242","KING AUTO BEHAR COLONY","King Auto Behar Colony","exact","","10240","1840","-8400","0","NEW","2026-07-30",
"243","KAZIM AUTO BAG E KORANGI","Kazim Auto Bagh-e-Korangi","name_map","","104236.25","29690","-74546.25","0","NEW","2026-07-24",
"244","SAHIBZADA AUTO 89 MKT","Sahibzada Auto 89 Market","name_map","","3450","3450","0","0","AGREES","2026-07-01",
"245","IMRAN AUTO MALIR","Imran Auto Malir","exact","","24000","24000","0","0","AGREES","2026-07-08",
"246","NASIR AUTO PEOPELS CHORANGI","Nasir Autos Peoples Chowrangi","name_map","","13645","39645","26000","0","NEW","2026-07-22",
"247","RIZWAN AUTO AZEEM PURA","Rizwan Autos Azeem Pura","fuzzy","0.95","5500","10500","5000","","NEW","2026-07-31",""
"248","FAISAL AUTO AZEEM PURA","Faisal Autos Azeem Pura","name_map","","3300","9300","6000","0","NEW","2026-07-17",
"250","MOHSIN ZIP SHOP","","","","0","","","","NOT IN ODOO","2026-04-13",""
"251","KARACHI AUTO QUAIDABAD","Karachi Autos Quaidabad","name_map","","9096","20000","10904","-8200","NEW","2026-07-24",
"252","OKASHA MEHAR","Okasha Mehar","exact","","0","0","0","","AGREES","2026-05-25",""
"253","IZZAT AGA AUTO RABIA CITY","Izzat Agha Autos Rabia City","name_map","","66900","27650","-39250","0","NEW","2026-07-27",
"254","WARSI AUTO NAZIMABAD","Warsi Auto Nazimabad","exact","","16600","21600","5000","0","NEW","2026-07-30",
"255","BABA & SONS KORANGI 5/2","Baba And Sons Korangi 5/2","name_map","","9450","1050","-8400","0","NEW","2026-07-20",
"256","PARTS WALA AUTO LANDHI 6","Parts Wala Auto Landhi 6","exact","","11100","23100","12000","-7000","NEW","2026-07-30",
"257","FAISAL M.S.A.A. TRADERS","","","","700","","","","NOT IN ODOO","2026-04-18",
"259","IMRAN AUTO PEHALWAN GOTH","Imran Autos Pehalwan Goth","name_map","","21750","47750","26000","0","NEW","2026-07-27",
"260","ASAD AUTO MALIR","Asad Autos Malir","name_map","","2000","6350","4350","0","NEW","2026-07-21",
"261","KASHIF R-K SHAH LATIF","","","","109800","","","","NOT IN ODOO","2026-04-21",
"262","KASHIF R-K W/RIM","Kashif R-K W/RIM","exact","","16000","1600","-14400","0","NEW","2026-04-21",
"263","AL-MADINA AUTO WATER PUMP","Al-Madina Autos Water Pump","name_map","","26000","26000","0","0","AGREES","2026-06-27",
"264","NOOR AUTO JHUDDO","Noor Autos Jhuddo","name_map","","0","57730","57730","0","NEW","2026-07-24",
"265","ARIF AUTO RAHIM YAR KHAN","Arif Autos Rahim Yar Khan","name_map","","5580","5000","-580","-580","KNOWN (Mgr diff)","2026-06-15",
"266","MADNI AUTO PEHALWAN GOTH","Madni Autos Pehalwan Goth","name_map","","71490","49900","-21590","-5300","NEW","2026-07-20",
"267","HAFIZ AUTO PEHALWAN GOTH","Hafiz Autos Pehalwan Goth","name_map","","21655","13395","-8260","7390","NEW","2026-07-20",
"268","HANAN AUTO NAZIMABAD","Hanan Auto Nazimabad","exact","","13075","2745","-10330","","NEW","2026-05-25",""
"269","M/S AUTO SACHAL","M/S Auto Sachal","exact","","10640","10640","0","0","AGREES","2026-07-13",
"270","SARWAR AUTO PEOPELS CHOWRANGI","Sarwar Autos People's Chowrangi","name_map","","14370","12510","-1860","0","NEW","2026-07-30",
