"partner_id","odoo_name","oracle_name","ccode","odoo_balance","oracle_balance","difference"
"1578","Akbar Auto Liyari 36","","","0","",""
"1620","Danish Autos Korangi","","","5","",""
"1603","Azan Autos Jimmy Landhi (Wheel Rim)","","","24000","",""
"1859","B.s Auto Vinder","B.S AUTO VINDER","318","14300","14300","0"
"1764","Talha Qalandriya","TALHA QALANDRIYA","110","0","0","0"
"1769","Unique Autos Landhi (Wheel Rim)","","","0","",""
"1689","Madina Autos Safoora (Shoaib)","","","12300","",""
"1697","Marhaba Autos Orangi Dua Chowk","MARHABA AUTOS ORANGI DUA CHOWK","46","0","0","0"
"1765","Tayyab Autos Mehmoodabad","TAYYAB AUTO MEHMODABAD","169","1600","1600","0"
"1634","Hafeez Autos Khan Bela","HAFEEZ AUTO KHAN BELA","154","131000","131000","0"
"1709","New Riyaz Autos Liyari 36","NEW-RIYAZ AUTO LIYARI 36","184","1750","1750","0"
"1645","Hussain Autos Ajmer Nagri","","","60825","",""
"1654","Iqbal Autos Baldia 4 No. (Wheel Rim)","","","0","",""
"1693","Mama A-1 Gulshan 13-D (Wheel Rim)","","","0","",""
"1586","Ali Break Shoe Qayyumabad (Wheel Rim)","ALI MEHMODABAD WHEEL RIM","197","1780","1780","0"
"1837","Sami Auto Gulshan 13-D","","","10","",""
"1621","Dawood Sultan Autos Orangi Town 1 No","","","0","",""
"1713","Okasha Mehar","OKASHA MEHAR","252","0","0","0"
"1716","Osama North Karachi","OSAMA NORTH KARACHI","118","-3000","-3000","0"
"1742","Saeed Bhai Plaza","SAEED BHAI PLAZA","134","0","0","0"
"1851","Ahmed Raza Autos Rehmania Mor (Wheel Rim)","AHMED RAZA REHMANIA W/RIM","309","25950","25950","0"
"1703","Nasir Autos Orangzaib Market","NASIR AUTO ORANGZAIB MARKET","122","50","50","0"
"1866","Hashtag Traders Landhi 6 Number","","","37925","",""
"1631","Ghosia Jhudoo","GHOUSIA AUTO JHUDDO","103","37400","37400","0"
"1677","Lucky Autos Hyderabad","","","0","",""
"1741","Sadiq Sons Quetta","SADIQ SONS QUETTA","62","0","0","0"
"1664","Jijal Autos Gharo","","","0","",""
"1661","Japan Autos TMK","","","4800","",""
"1841","Shoaib Auto Sachal","SHOAIB AUTO SACHAL","278","25","25","0"
"1571","Abbas Auto Gulberg","","","0","",""
"1868","Insaf Autos Liyari 36 (Wheel Rim)","INSAF LIYARI 36 W/RIM","313","150","150","0"
"1583","Alam Autos Godra","","","0","",""
"1683","M.A Autos Vinder","","","14200","",""
"1649","Imran Auto Malir","IMRAN AUTO MALIR","245","24000","24000","0"
"1719","Prince Autos Sakro","PRINCE AUTOS SAKRO","72","3000","3000","0"
"1749","Shameem Autos Korangi 2.5 Number","","","0","",""
"1751","Shandar Autos Naukot","SHANDAR AUTOS NAUKOT","65","0","0","0"
"1728","R.R Autos Surjani","R.R AUTO SURJANI","185","58350","58350","0"
"1879","Osama Islam Chowk (Wheel Rim)","OSAMA ISLAM CHOWK W/RIM","312","8700","8700","0"
"1759","Sultan Oil Traders","","","-0.03","",""
"1673","Khan Shahrukh Autos Korangi (Wheel Rim)","","","2420","",""
"1883","Sarwar Autos People's Chowrangi (Wheel Rim)","SARWAR AUTO W/RIM","302","4200","4200","0"
"1611","BS Qazi Ahmed","B.S QAZI AHMED","74","0","0","0"
"1774","Waqas Autos Buffer Zone","WAQAS AUTO BUFFER ZONE","159","12175","12175","0"
"1838","Quetta Auto Bakra Piri Malir","QUETTA AUTO BAKRA PIRI MALIR","286","0","0","0"
"1647","I.S Auto Pehalwan Goth","I.S AUTO PEHALWAN GOTH","219","0","0","0"
"1641","Hasan Autos Nazia Square","","","0","",""
"1893","Awami Autos Faqeera Goth (Wheel Rim)","","","34000","",""
"1726","Quetta Autos Sherpao","","","15600","",""
"1844","Asad Auto Maymar","","","0","",""
"1681","M.A Autos Liyari 36","M.A AUTO LIYARI 36","183","50","50","0"
"1721","Qalandri Autos Landhi","QALANDRI AUTO LANDHI","113","75","75","0"
"1644","Huma Autos Korangi","HUMA AUTO KORANGI","145","1950","1950","0"
"1658","Jabbar Hardware and Electric Store Phase 2","","","0","",""
"1843","Habib Auto Maymar","HABIB AUTO MAYMAR","279","4060","4060","0"
"1587","Alvi Autos Baldia 4 No.","ALVI AUTO BALDIA 4 NUMBER","130","38100","38100","0"
"1825","Kamran Autos Shehdad Kot","KAMRAN AUTO SHEHDAD KOT","272","2940","2940","0"
"1817","Nasir Maqbool DTL","NASIR MAQBOOL MKT","277","10320","10320","0"
"1632","Ghousia Autos Maymar (Shoaib)","","","0","",""
"1635","Haji Iqbal Qureshi Autos UP","HAJI IQBAL QURESHI U.P","160","25000","25000","0"
"1608","B.S Autos Quaidabad","","","101750","",""
"1699","Mashallah Autos Water Pump (Wheel Rim)","","","0","",""
"1722","Qasim Autos Hub Chowki","","","0","",""
